Tool Report,,,,,,,,
,#7,#6,#5,#4,#3,#2,#1,#0
0,0,0,0,0,0,0,1,0
1,1,Proximity,ReportFlag,0,0,0,ToolReportFlag,0
2,T11,T10,T9,T8,T7,T6,T5,T4
3,T3,T2,T1,T0,Ser34,Ser33,Ser32,Ser31
4,Ser30,Ser29,Ser28,Ser27,Ser26,Ser25,Ser24,Ser23
5,Ser22,Ser21,Ser20,Ser19,Ser18,Ser17,Ser16,Ser15
6,Ser14,Ser13,Ser12,Ser11,Ser10,Ser0,Ser9,Ser8
7,Ser7,Ser6,Ser5,Ser4,Ser3,Ser2,Ser1,Ser0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
,,,,,,,,
Pen Report,,,,,,,,
,#7,#6,#5,#4,#3,#2,#1,#0
0,0,0,0,0,0,0,1,0
1,1,Proxmity,ReportFlag,0,MouseFlag,B1,B0,P0
2,X16,X15,X14,X13,X12,X11,X10,X9
3,X8,X7,X6,X5,X4,X3,X2,X1
4,Y16,Y15,Y14,Y13,Y12,Y11,Y10,Y9
5,Y8,Y7,Y6,Y5,Y4,Y3,Y2,Y1
6,P10,P9,P8,P7,P6,P5,P4,P3
7,P2,P1,SXt6,Xt5,Xt4,Xt3,Xt2,Xt1
8,Xt0,SYt6,Yt5,Yt4,Yt3,Yt2,Yt1,Yt0
9,H5,H4,H3,H2,H1,H0,X0,Y0
,,,,,,,,
Mouse Report,,,,,,,,
,#7,#6,#5,#4,#3,#2,#1,#0
0,0,0,0,0,0,0,1,0
1,1,Proxmity,ReportFlag,0,MouseFlag,1,0,0
2,X16,X15,X14,X13,X12,X11,X10,X9
3,X8,X7,X6,X5,X4,X3,X2,X1
4,Y16,Y15,Y14,Y13,Y12,Y11,Y10,Y9
5,Y8,Y7,Y6,Y5,Y4,Y3,Y2,Y1
6,0,0,0,B4,B3,B2,B1,B0
7,Sf,Sb,SXt6,Xt5,Xt4,Xt3,Xt2,Xt1
8,Xt0,SYt6,Yt5,Yt4,Yt3,Yt2,Yt1,Yt0
9,H5,H4,H3,H2,H1,H0,X0,Y0
,,,,,,,,
Aux Report,,,,,,,,
,#7,#6,#5,#4,#3,#2,#1,#0
0,0,0,0,0,1,1,0,0
1,RingFlag,Ri6,Ri5,Ri4,Ri3,Ri2,Ri1,Ri0
2,0,0,0,0,0,0,0,Rib
3,B7,B6,B5,B4,B3,B2,B1,B0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
